transecto,nombre_cientifico,y2012,y2013,y2014,y2015,y2016,y2017,y2019,y2020,y2018,longitud,min_altitu,max_altitu,id_transecto,site,elev,contactos,n_years_contacted
Campos de Otero,"Coenonympha pamphilus lyllus (Esper, 1805)",0,0,1,0,0,0,0,1,0,2992,2178,2317,16_24,CO,2248,2,2
Campos de Otero,"Colias crocea (Geoffroy, 1785)",30,121,25,38,60,98,26,43,0,2992,2178,2317,16_24,CO,2248,441,8
Campos de Otero,"Cyaniris semiargus (Rottemburg, 1775)",8,2,13,0,10,2,3,3,0,2992,2178,2317,16_24,CO,2248,41,7
Campos de Otero,"Erebia hispania Butler, 1868",9,2,29,7,1,11,3,6,0,2992,2178,2317,16_24,CO,2248,68,8
Campos de Otero,"Euchloe crameri Butler, 1869",0,0,1,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Fabriciana adippe ([Denis & Schiffermüller], 1775)",0,1,0,0,2,1,0,1,0,2992,2178,2317,16_24,CO,2248,5,4
Campos de Otero,"Fabriciana niobe (Linnaeus, 1758)",18,40,11,0,18,13,9,2,0,2992,2178,2317,16_24,CO,2248,111,7
Campos de Otero,"Gonepteryx cleopatra (Linnaeus, 1767)",1,1,3,0,1,4,0,0,0,2992,2178,2317,16_24,CO,2248,10,5
Campos de Otero,"Gonepteryx rhamni (Linnaeus, 1758)",1,0,2,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,3,2
Campos de Otero,"Hesperia comma (Linnaeus, 1758)",0,0,0,12,7,12,8,12,0,2992,2178,2317,16_24,CO,2248,51,5
Campos de Otero,"Hipparchia fidia (Linnaeus, 1767)",0,1,0,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Hipparchia hermione (Linnaeus, 1764)",0,7,4,3,4,4,3,5,0,2992,2178,2317,16_24,CO,2248,30,7
Campos de Otero,"Hipparchia semele (Linnaeus, 1758)",1,2,0,0,0,1,1,2,0,2992,2178,2317,16_24,CO,2248,7,5
Campos de Otero,"Hipparchia statilinus (Hufnagel, 1766)",0,0,0,6,0,1,0,0,0,2992,2178,2317,16_24,CO,2248,7,2
Campos de Otero,"Hyponephele lupina (Costa, 1836)",0,133,0,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,133,1
Campos de Otero,"Hyponephele lycaon (Kühn, 1774)",66,0,86,118,153,131,43,10,0,2992,2178,2317,16_24,CO,2248,607,7
Campos de Otero,"Iphiclides feisthamelii (Duponchel, 1832)",1,1,0,0,0,0,1,0,0,2992,2178,2317,16_24,CO,2248,3,3
Campos de Otero,"Issoria lathonia (Linnaeus, 1758)",21,64,12,22,19,28,36,31,0,2992,2178,2317,16_24,CO,2248,233,8
Campos de Otero,"Lampides boeticus (Linnaeus, 1767)",3,3,3,0,1,3,0,3,0,2992,2178,2317,16_24,CO,2248,16,6
Campos de Otero,"Lasiommata maera (Linnaeus, 1758)",2,0,1,1,5,4,0,0,0,2992,2178,2317,16_24,CO,2248,13,5
Campos de Otero,"Lasiommata megera (Linnaeus, 1767)",8,58,16,16,11,18,37,18,0,2992,2178,2317,16_24,CO,2248,182,8
Campos de Otero,"Leptidea sinapis (Linnaeus, 1758)",0,0,0,0,0,0,0,1,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Leptotes pirithous (Linnaeus, 1767)",0,0,0,0,0,0,0,1,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Lycaena alciphron (Rottemburg, 1775)",25,13,11,26,35,41,25,1,0,2992,2178,2317,16_24,CO,2248,177,8
Campos de Otero,"Lycaena phlaeas (Linnaeus, 1760)",13,6,6,16,9,31,22,13,0,2992,2178,2317,16_24,CO,2248,116,8
Campos de Otero,"Lysandra bellargus (Rottemburg, 1775)",0,0,0,0,1,0,0,0,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Maniola jurtina (Linnaeus, 1758)",0,0,0,0,2,0,0,0,0,2992,2178,2317,16_24,CO,2248,2,1
Campos de Otero,"Melanargia lachesis (Hübner, 1790)",7,21,7,8,1,3,1,2,0,2992,2178,2317,16_24,CO,2248,50,8
Campos de Otero,"Melitaea athalia (Rottemburg, 1775)",12,20,18,0,4,12,0,0,0,2992,2178,2317,16_24,CO,2248,66,5
Campos de Otero,"Melitaea deione (Geyer, 1832)",0,0,0,0,5,0,0,0,0,2992,2178,2317,16_24,CO,2248,5,1
Campos de Otero,"Melitaea didyma (Esper, 1778)",0,1,0,0,1,0,0,0,0,2992,2178,2317,16_24,CO,2248,2,2
Campos de Otero,"Melitaea parthenoides Keferstein, 1851",2,0,0,17,21,4,3,4,0,2992,2178,2317,16_24,CO,2248,51,6
Campos de Otero,"Melitaea phoebe ([Denis & Schiffermüller], 1775)",5,0,11,0,7,3,6,11,0,2992,2178,2317,16_24,CO,2248,43,6
Campos de Otero,"Melitaea trivia ([Denis & Schiffermüller], 1775)",0,0,3,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,3,1
Campos de Otero,"Nymphalis polychloros (Linnaeus, 1758)",1,0,0,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Parnassius apollo (Linnaeus, 1758)",50,205,253,85,69,44,73,42,0,2992,2178,2317,16_24,CO,2248,821,8
Campos de Otero,"Pieris napi (Linnaeus, 1758)",0,0,0,0,0,0,1,0,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Pieris rapae (Linnaeus, 1758)",1,160,14,67,34,78,32,67,0,2992,2178,2317,16_24,CO,2248,453,8
Campos de Otero,"Plebejus argus (Linnaeus, 1758)",1,26,62,4,18,10,1,0,0,2992,2178,2317,16_24,CO,2248,122,7
Campos de Otero,"Plebejus idas (Linnaeus, 1760)",48,231,126,66,1,11,130,54,0,2992,2178,2317,16_24,CO,2248,667,8
