transecto,year,riq,longitud,min_altitu,max_altitu,id_transecto,site,elev
Laguna Seca,2016,20,3044,2257,2306,16_14,LS,2282
Laguna Seca,2017,20,3044,2257,2306,16_14,LS,2282
Laguna Seca,2019,17,3044,2257,2306,16_14,LS,2282
Laguna Seca,2020,18,3044,2257,2306,16_14,LS,2282
Loma de Papeles Alto,2012,21,3068,2338,2463,16_17,PA,2400
Loma de Papeles Alto,2013,24,3068,2338,2463,16_17,PA,2400
Loma de Papeles Alto,2014,22,3068,2338,2463,16_17,PA,2400
Loma de Papeles Alto,2015,21,3068,2338,2463,16_17,PA,2400
Loma de Papeles Alto,2016,28,3068,2338,2463,16_17,PA,2400
Loma de Papeles Alto,2017,23,3068,2338,2463,16_17,PA,2400
Loma de Papeles Alto,2019,24,3068,2338,2463,16_17,PA,2400
Loma de Papeles Alto,2020,23,3068,2338,2463,16_17,PA,2400
Loma de Papeles Bajo,2012,26,2743,2052,2190,16_18,PB,2121
Loma de Papeles Bajo,2013,29,2743,2052,2190,16_18,PB,2121
Loma de Papeles Bajo,2014,35,2743,2052,2190,16_18,PB,2121
Loma de Papeles Bajo,2015,26,2743,2052,2190,16_18,PB,2121
Loma de Papeles Bajo,2016,29,2743,2052,2190,16_18,PB,2121
Loma de Papeles Bajo,2017,27,2743,2052,2190,16_18,PB,2121
Loma de Papeles Bajo,2019,28,2743,2052,2190,16_18,PB,2121
Loma de Papeles Bajo,2020,30,2743,2052,2190,16_18,PB,2121
Matas Verdes,2012,38,2672,1851,1987,16_21,MV,1919
Matas Verdes,2013,50,2672,1851,1987,16_21,MV,1919
Matas Verdes,2014,61,2672,1851,1987,16_21,MV,1919
Matas Verdes,2015,44,2672,1851,1987,16_21,MV,1919
Matas Verdes,2016,49,2672,1851,1987,16_21,MV,1919
Matas Verdes,2017,61,2672,1851,1987,16_21,MV,1919
Matas Verdes,2019,51,2672,1851,1987,16_21,MV,1919
Matas Verdes,2020,46,2672,1851,1987,16_21,MV,1919
Pitres,2014,39,2671,1283,1475,16_48,PI,1379
Pitres,2015,47,2671,1283,1475,16_48,PI,1379
Pitres,2016,40,2671,1283,1475,16_48,PI,1379
Pitres,2017,39,2671,1283,1475,16_48,PI,1379
Pitres,2018,39,2671,1283,1475,16_48,PI,1379
Pitres,2019,43,2671,1283,1475,16_48,PI,1379
Pitres,2020,41,2671,1283,1475,16_48,PI,1379
Praillos,2012,16,366,1887,1900,16_35,PRA,1894
Praillos,2013,37,366,1887,1900,16_35,PRA,1894
Praillos,2014,36,366,1887,1900,16_35,PRA,1894
Praillos,2015,26,366,1887,1900,16_35,PRA,1894
Praillos,2016,31,366,1887,1900,16_35,PRA,1894
Praillos,2017,45,366,1887,1900,16_35,PRA,1894
Praillos,2019,37,366,1887,1900,16_35,PRA,1894
Praillos,2020,27,366,1887,1900,16_35,PRA,1894
Purche,2012,39,2758,1387,1496,16_20,PU,1442
Purche,2013,41,2758,1387,1496,16_20,PU,1442
Purche,2014,53,2758,1387,1496,16_20,PU,1442
Purche,2015,40,2758,1387,1496,16_20,PU,1442
Purche,2016,49,2758,1387,1496,16_20,PU,1442
Purche,2017,44,2758,1387,1496,16_20,PU,1442
Purche,2019,51,2758,1387,1496,16_20,PU,1442
Purche,2020,41,2758,1387,1496,16_20,PU,1442
Robledal de Dilar,2012,44,2725,1673,1767,16_23,DI,1720
Robledal de Dilar,2013,51,2725,1673,1767,16_23,DI,1720
Robledal de Dilar,2014,64,2725,1673,1767,16_23,DI,1720
Robledal de Dilar,2015,54,2725,1673,1767,16_23,DI,1720
Robledal de Dilar,2016,54,2725,1673,1767,16_23,DI,1720
Robledal de Dilar,2017,61,2725,1673,1767,16_23,DI,1720
Robledal de Dilar,2019,61,2725,1673,1767,16_23,DI,1720
Robledal de Dilar,2020,60,2725,1673,1767,16_23,DI,1720
Sabinas,2012,14,289,2177,2184,16_36,SA,2180
Sabinas,2013,20,289,2177,2184,16_36,SA,2180
Sabinas,2014,24,289,2177,2184,16_36,SA,2180
Sabinas,2015,14,289,2177,2184,16_36,SA,2180
Sabinas,2016,12,289,2177,2184,16_36,SA,2180
Sabinas,2017,18,289,2177,2184,16_36,SA,2180
Sabinas,2019,17,289,2177,2184,16_36,SA,2180
Sabinas,2020,19,289,2177,2184,16_36,SA,2180
Turbera,2014,19,2754,723,767,16_49,TU,745
Turbera,2015,17,2754,723,767,16_49,TU,745
Turbera,2016,13,2754,723,767,16_49,TU,745
Turbera,2017,19,2754,723,767,16_49,TU,745
Turbera,2018,17,2754,723,767,16_49,TU,745
Turbera,2019,26,2754,723,767,16_49,TU,745
Turbera,2020,24,2754,723,767,16_49,TU,745
